Date,Direct,Regular,,
15-3-2023,52.1662,48.686,,
14-3-2023,51.9571,48.4919,,
13-3-2023,51.8989,48.4387,,
10-3-2023,52.5308,49.0317,,
9-3-2023,52.9241,49.3999,,
8-3-2023,53.181,49.6408,,
6-3-2023,53.1254,49.5911,,
3-3-2023,52.5275,49.0363,,
2-3-2023,52.1887,48.7211,,
1-3-2023,52.3198,48.8446,,
28-2-2023,51.9826,48.5308,,
27-2-2023,51.9471,48.4988,,
24-2-2023,52.1252,48.6683,,
23-02-2023,52.0787,48.626,,
22-02-2023,52.0666,48.6158,,
21-02-2023,52.5544,49.0724,,
20-02-2023,52.5665,49.0848,,
17-02-2023,52.7128,49.2247,,
16-02-2023,53.0012,49.4951,,
15-02-2023,52.8794,49.3824,,
14-2-2023,52.8227,49.3306,,
13-2-2023,52.4751,49.0071,,
10-2-2023,52.6782,49.2001,,
9-2-2023,52.9848,49.4875,,
8-2-2023,53.4666,49.9386,,
7-2-2023,53.0658,49.5654,,
6-2-2023,53.2821,49.7686,,
3-2-2023,53.6078,50.0764,,
2-2-2023,52.5869,49.1239,,
1-2-2023,52.3241,48.8797,,
31-1-2023,51.969,48.5491,,
30-1-2023,52.0371,48.6139,,
27-1-2023,51.856,48.4481,,
25-1-2023,51.9664,48.5536,,
24-1-2023,52.5474,49.0976,,
23-01-2023,52.4271,48.9865,,
20-01-2023,51.731,48.3395,,
19-01-2023,51.7515,48.3598,,
18-01-2023,51.75,48.3595,,
17-01-2023,51.6338,48.2521,,
16-01-2023,51.5313,48.1575,,
13-1-2023,51.6212,48.2449,,
12-1-2023,51.3246,47.9688,,
11-1-2023,50.9837,47.6514,,
10-1-2023,50.9772,47.6465,,
9-1-2023,51.0789,47.7426,,
6-1-2023,50.5032,47.2078,,
5-1-2023,50.919,47.5977,,
4-1-2023,51.031,47.7035,,
3-1-2023,51.2259,47.8869,,
2-1-2023,51.0882,47.7592,,
30-12-2022,51.0328,47.7107,,
29-12-2022,51.0117,47.6921,,
28-12-2022,51.006,47.6879,,
27-12-2022,51.1004,47.7773,,
26-12-2022,50.9555,47.6429,,
23-12-2022,50.3658,47.095,,
22-12-2022,51.4078,48.0705,,
21-12-2022,51.5514,48.206,,
20-12-2022,51.8258,48.4638,,
19-12-2022,52.0402,48.6654,,
16-12-2022,51.7298,48.3786,,
15-12-2022,52.3737,48.982,,
14-12-2022,52.7428,49.3284,,
13-12-2022,52.4048,49.0134,,
12-12-2022,52.0796,48.7105,,
09-12-2022,52.0462,48.6828,,
08-12-2022,52.2439,48.8689,,
07-12-2022,52.236,48.8626,,
06-12-2022,52.6323,49.2346,,
05-12-2022,52.8884,49.4753,,
02-12-2022,52.8816,49.4725,,
01-12-2022,53.0001,49.5846,,
30-11-2022,52.5166,49.1334,,
29-11-2022,52.2731,48.9068,,
28-11-2022,52.5076,49.1274,,
25-11-2022,52.5193,49.1419,,
24-11-2022,52.4977,49.1229,,
23-11-2022,52.054,48.7089,,
22-11-2022,51.9944,48.6542,,
21-11-2022,52.0208,48.6802,,
18-11-2022,52.1584,48.8124,,
17-11-2022,52.3356,48.9794,,
16-11-2022,52.5302,49.1628,,
15-11-2022,52.3847,49.0278,,
14-11-2022,52.3423,48.9893,,
11-11-2022,52.2551,48.9112,,
10-11-2022,51.2877,48.0069,,
09-11-2022,51.7279,48.4201,,
07-11-2022,51.4519,48.164,,
04-11-2022,50.9681,47.7146,,
03-11-2022,51.3125,48.0381,,
02-11-2022,51.7054,48.4071,,
01-11-2022,51.9849,48.67,,
31-10-2022,51.9464,48.6352,,
28-10-2022,51.5216,48.2409,,
27-10-2022,52.1107,48.7937,,
25-10-2022,52.2518,48.9281,,
21-10-2022,51.5748,48.2989,,
20-10-2022,51.4843,48.2153,,
19-10-2022,51.5791,48.3052,,
18-10-2022,51.3218,48.0654,,
17-10-2022,50.6426,47.4305,,
14-10-2022,50.7986,47.58,,
13-10-2022,50.4082,47.2154,,
12-10-2022,50.4695,47.2741,,
11-10-2022,50.2449,47.0647,,
10-10-2022,50.6906,47.4834,,
07-10-2022,51.2764,48.0356,,
06-10-2022,51.2132,47.9776,,
04-10-2022,50.5757,47.3826,,
03-10-2022,49.6832,46.5477,,
30-09-2022,49.892,46.7469,,
29-09-2022,49.7331,46.5992,,
28-09-2022,49.5671,46.4449,,
27-09-2022,49.9832,46.8359,,
26-09-2022,50.1478,46.9913,,
23-09-2022,50.996,47.7898,,
22-09-2022,51.6029,48.3598,,
